videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId
sSRP6TGVVeA,Pia nach deinem Foto musst du dich dringend behandeln lassen.,Pia nach deinem Foto musst du dich dringend behandeln lassen.,WINIX,https://yt3.ggpht.com/I4ymWIxzzXtdAVbFOxXz3rni3aG1s32zKQ6M6kNVqSNMQpRxKhefXo0cprordhMbI5NDGvNmHdI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCaOLRVgEAc5CgBFdA7kFE6w,{'value': 'UCaOLRVgEAc5CgBFdA7kFE6w'},True,none,0,2021-11-13T13:53:51Z,2021-11-13T13:53:51Z,UgxUzuYr307V_oYUdsp4AaABAg,UgxUzuYr307V_oYUdsp4AaABAg.9S3gAg7k4gn9UgUXdWJo2j
sSRP6TGVVeA,"Ich mein im Ernst, war das sarkastisch gemeint?!?  Kurz lässt nicht mal die hälfte der Fragen zu Ende stellen!  hahahahahahaha","Ich mein im Ernst, war das sarkastisch gemeint?!?  Kurz lässt nicht mal die hälfte der Fragen zu Ende stellen!  hahahahahahaha",Bernd King,https://yt3.ggpht.com/ytc/AGIKgqPG9kMWtjs7lbrhGYgiH0-AuVIYX5IxMJBtKA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbqraLTiLnehwq0ey7pfTtA,{'value': 'UCbqraLTiLnehwq0ey7pfTtA'},True,none,0,2021-09-12T14:58:43Z,2021-09-12T14:58:43Z,UgxUzuYr307V_oYUdsp4AaABAg,UgxUzuYr307V_oYUdsp4AaABAg.9S3gAg7k4gn9SBxfT5PU2w
sSRP6TGVVeA,Besser als ihrem Gegenüber hier wohl!?,Besser als ihrem Gegenüber hier wohl!?,Bernd King,https://yt3.ggpht.com/ytc/AGIKgqPG9kMWtjs7lbrhGYgiH0-AuVIYX5IxMJBtKA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCbqraLTiLnehwq0ey7pfTtA,{'value': 'UCbqraLTiLnehwq0ey7pfTtA'},True,none,0,2021-09-12T14:58:04Z,2021-09-12T14:58:04Z,UgxUzuYr307V_oYUdsp4AaABAg,UgxUzuYr307V_oYUdsp4AaABAg.9S3gAg7k4gn9SBxaiCt3S9
sSRP6TGVVeA,"Der ekelhafteste Lügner, der je in der Politik sein menschenverachtendes Unwesen trieb...","Der ekelhafteste Lügner, der je in der Politik sein menschenverachtendes Unwesen trieb...",Kurt Wohl,https://yt3.ggpht.com/ytc/AGIKgqNYw-ojIIpl2leXtdIruHC4xg-MkC2Ce_EpCA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCLcXp56WIzf5EoiqA7slsnQ,{'value': 'UCLcXp56WIzf5EoiqA7slsnQ'},True,none,1,2021-09-09T05:09:10Z,2021-09-09T05:09:10Z,,UgxfO-kst0Ytn5p5v9R4AaABAg
sSRP6TGVVeA,🤮,🤮,Nina Jusic,https://yt3.ggpht.com/ytc/AGIKgqP1CVM4APsf2qGq2SAkKEHpmWdlJGRPCjNHGw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeEMOuE66R2Qds8_tDp2xFA,{'value': 'UCeEMOuE66R2Qds8_tDp2xFA'},True,none,9,2021-09-08T21:45:13Z,2021-09-08T21:45:13Z,,UgwECcl0acmVEtQfwXR4AaABAg
sSRP6TGVVeA,"<a href=""https://www.youtube.com/watch?v=pHjyK-g4VH0"">https://www.youtube.com/watch?v=pHjyK-g4VH0</a>",https://www.youtube.com/watch?v=pHjyK-g4VH0,Leo Mutombo,https://yt3.ggpht.com/ytc/AGIKgqOSOP8L1PsrnjKAL7ByGdFe-sI0zl1sx84J8A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC1bzkoZiOhTlUi3nl5TmQ4g,{'value': 'UC1bzkoZiOhTlUi3nl5TmQ4g'},True,none,0,2022-09-12T12:36:01Z,2022-09-12T12:36:01Z,UgwkqDPGYFguM7Ozw0x4AaABAg,UgwkqDPGYFguM7Ozw0x4AaABAg.9S2JhQLCdjP9fsYUeh9Ryt
sSRP6TGVVeA,leider ja. <br>es nimmt ganz neue Dimensionen an ^^,"leider ja. 
es nimmt ganz neue Dimensionen an ^^",Alex Cio,https://yt3.ggpht.com/0QBElQk_S2-3aDDEsrFi5KF5RhdcJ2MgLEjugCKTSVoW5UhCiZIJ5ot1AUP8irxIfjrN61jnoQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCvrSVQRl6OE6cw0qu20UuiA,{'value': 'UCvrSVQRl6OE6cw0qu20UuiA'},True,none,4,2021-10-22T13:04:34Z,2021-10-22T13:04:34Z,UgwkqDPGYFguM7Ozw0x4AaABAg,UgwkqDPGYFguM7Ozw0x4AaABAg.9S2JhQLCdjP9TnkPSUIA6y
sSRP6TGVVeA,"Sein Geschichtslehrer hat nahezu vom Basti geschwärmt, bester Schüler.","Sein Geschichtslehrer hat nahezu vom Basti geschwärmt, bester Schüler.",Mango Jerry,https://yt3.ggpht.com/9ZpZGjZlrwI8YJbrz9RP6LTSbNHzP6EKriq2hcU0ATnRNNmIYnFwggkAQyFUY1sKg_FBARYy4Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC7turcHjespVDpM-CdI3fEw,{'value': 'UC7turcHjespVDpM-CdI3fEw'},True,none,0,2021-11-03T13:34:02Z,2021-11-03T13:34:02Z,UgwXgKuV_NvpJto7aBN4AaABAg,UgwXgKuV_NvpJto7aBN4AaABAg.9S2EN9FqiXl9UHhJjh4MHM
sSRP6TGVVeA,"ballungsräume durchimpfen. Und das AMS sollte einmal zu 1/3 aus Uebermittlungsprovisionen bestehen, weil das zu 70% politisch betrieben wird. <br><br>Afghanistan gehört eh missioniert. 💝","ballungsräume durchimpfen. Und das AMS sollte einmal zu 1/3 aus Uebermittlungsprovisionen bestehen, weil das zu 70% politisch betrieben wird. 

Afghanistan gehört eh missioniert. 💝",B. Ghould,https://yt3.ggpht.com/ytc/AGIKgqNuRyO0VlcEGucuNqJr2CWPG2toR3wL3nNixHNG=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOhccHjPf_QECtbrPoZLnbA,{'value': 'UCOhccHjPf_QECtbrPoZLnbA'},True,none,0,2021-09-08T19:01:31Z,2021-11-12T10:00:49Z,,Ugy5JNuOfg6J-ECSOPh4AaABAg
sSRP6TGVVeA,Pinocchio pandemie!,Pinocchio pandemie!,Freiheit #Freedom,https://yt3.ggpht.com/ytc/AGIKgqMJskD1av75eDGolkTDlJLbdgb_5FqH9QAjpw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCIK0fsrrFr3_9Sjy6jQfs0Q,{'value': 'UCIK0fsrrFr3_9Sjy6jQfs0Q'},True,none,6,2021-09-08T18:47:08Z,2021-09-08T18:47:08Z,,Ugw4Ma5wJh_e9PJSk3Z4AaABAg
