channel_id,video_id,comment_id,date,author,comment_text
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxxwVWClnOFZiz-TSh4AaABAg,2023-04-25T08:42:58Z,Ramsan Kadyrow,"Um fast zehn Prozent erhöht Nestlé im ersten Quartal die Preise für Nespresso, Maggi, Kitkat und Co. Die Kunden bleiben den Produkten treu, der Umsatz des Nahrungsmittelriesen klettert entsprechend.

Querdenker hier langen gei KiKat zu 😂😂"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxL0Ady0frhi_FwpZV4AaABAg,2023-04-25T03:19:44Z,ei jamb,"Ich sehe es ebenso. Es ist aus meiner Sicht nicht mehr das Ziel vieler Politiker die Staatsfinanzen zu stabilisieren (s. die Verschwendung in der C-Krise/ Aufrüstung für die Ukraine..) sondern einerseits ihrem Klüngel dem Großkapital bzw. Internationalen Gesellschaften zuzuarbeiten und andererseits die Länder der ersten Welt in Schwellenländer zu verwandeln. So lässt sich am besten regieren, wenn jeder aus der arbeitenden Menge um seine Existenz kämpfen muss und er gar keine Zeit hat sich zu informieren .
Ich möchte Ihnen aber für Ihre mutige und ehrliche Haltung danken. Politiker wie Sie würde es viele,viele brauchen und eine unbestechliche Medienlandschaft!
Mit freundlichen Grüßen!!
Eckhard HEINRICH"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxfT1e7hSCiZFNXX-p4AaABAg.9ouWqBUE5Nk9ovUacOLdQ6,2023-04-25T08:42:17Z,Ramsan Kadyrow,😂😂😂 null
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugxzek2Vna8Jijew0rl4AaABAg,2023-04-23T22:42:11Z,Anne,"Frau Wagenknecht, warum haben sie nicht für eine Aufarbeitung der Verbrechen der Corona Politik gestimmt ? Haben sie Angst so zu enden wie Herr Oppermann und Ohoven?"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgyzizHNdozrr5VweUd4AaABAg,2023-04-23T19:03:21Z,D.F. G.,"Hallo Frau Wagenknecht, ich würde gerne ein Mitglied ihre neue Partei werden aber ich weiß nicht wie. Wie kann ich mit Ihnen in Kontakt kommen?"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgwoPVtDxcxVWXomcXV4AaABAg,2023-04-23T09:03:34Z,Ralf Eckert,"Sehr geehrte Frau Wagenknecht, 
das die Finanzwelt seit Jahrzehnten durch BlackRock & Friends am Nasenring durch die Manege geführt wird sollte ja mittlerweile jedem halbwegs behirnten Menschen klar sein. 
Ebenso die massive Deindustrialisierung Deutschlands ist kein Zufall. 
Wenn der Berliner „Dilettantenstadel“ merkt 
das Geld ohne Wertschöpfung nicht funktioniert, wird das eine harte Landung. Obwohl!?!
Frei nach Norbert Blüm:
„DIE DIÄTEN SIND SICHER“
Was will man da machen, wenn der Bürger nicht mal merkt das „Sonder-Schon-Fastvermögen, Wums und DoppelWums, Deckelhier Entlasstung da“ nur massive Kredite sind, ABHAKEN. 
Die einfachsten Zusammenhänge scheinen dem Bürger zu komplex zu sein. Dieses „Narrenschiff“ ist auf dem
„Nobody know“ Kurs und die Ratingagenturen werden den Damen und Herrn alsbald die „rote Karte“ zeigen."
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgyObSX135jkAZjsa0V4AaABAg,2023-04-23T08:23:27Z,👀Betty_buhh,"So ist das, wenn man den Wert des Geldes vom Gold loslöst, weil die Schulden alles Eigenkapital übersteigt. Immer schön Geld drucken und damit die Inflation in die Höhe treiben. Jahrzehntelange Nullzinspolitik und jetzt will man Entgegensteuern? Es wird krachen und das Finanzsystem wird zusammenbrechen, soviel sollte nun der Letzte verstanden haben! Eine Million für ein Laib Brot ist nicht mehr lange Zukunftsvision 🤨"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxQRnt0lopTZTTXm1h4AaABAg,2023-04-22T11:35:41Z,Monika Trenner,"Im Oktober soll doch der E-Euro kommen vielleicht als ""neue Währung"" gedacht wie Bitcoin mit ähnlicher Umrechnung?"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugw0J6huEXI-tU-2WvZ4AaABAg,2023-04-22T11:13:54Z,Nic Spar,"Freunde von mir haben AfD gewählt aus Verzweiflung und Protest....Könnten Sie eine Neue Partei gründen?Diese würden Sie wählen.Ich bin Schweizer und wir habe zumindenst die Direkte Demokratie....Aber Dafür sind viele Gehirn gewaschen....Doch vieles im Vergleich zu Deutschland ist schon fast sozialistisch!Ich empfähle aber Deutsche Politiker die Schweizer Gesetze zu studieren....Trinkwasser wurde noch  nicht Privatisiert....Auch das buch ""Jaqueline Badrans Weg ins Bundeshaus""könnte Ihnen dabei behilflich sein.Nicola Sparano,Zürich"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxZkov0aJTkHcUNieB4AaABAg,2023-04-22T07:16:54Z,Samirah Kenawi,"Sehr geehrte Frau Wagenknecht,
ich habe Hochachtung vor Ihrer politischen Arbeit und bewundere Ihren Mut und ihre Souveränität immer wieder ungeliebte Wahrheiten auszusprechen. Beim Thema Eigenkapital hängen Sie jedoch den unhinterfragten Ideen der Mainstreamökonomie an, denn was ist Eigenkapital in einem Kreditgeldsystem – in dem das Geld der einen aus der Schuld anderer resultiert?! Ich erlaube mir zur Erklärung des Problems einen Auszug aus meinem Buch Manifest für das 22. Jahrhundert anzufügen. Ich hoffe, Sie verstehen dies als Unterstützung Ihrer wichtigen politischen Arbeit.
Herzliche Grüße
Samirah Kenawi

Auszug aus dem 1. Teil der Quadratur des Geldes
4.3	Eigenkapital – Ein ökonomisches Mysterium

Kreditsicherheiten – im weitesten Sinn das vorhandene Eigenkapital – haben entscheidenden Einfluss auf die Kreditbedingungen. Dazu gehört die Höhe der Zinsen. Eigenkapital kann Geld- und Sachvermögen sein. Das Eigenkapital dient den Banken im Insolvenzfall zum Wiederbeschaffen ihres verliehenen Geldes. Denn bei Zahlungsausfall verkaufen sie das ihnen verpfändete Eigenkapital. Das klingt alles sehr sinnvoll. Trotzdem will ich versuchen, das scheinbar bewährte Ideengebäude zum Einsturz zu bringen. 
...
Schon vor mehr als 500 Jahren begannen Großkaufleute sich selbst Kreditgeld zu schaffen. 
... Eigenwechsel waren Vorformen des heutigen kapitalistischen Kreditgeldes. Ausgestellt wurden sie mit Verweis auf die Gold- und Silbermünzen in den Truhen der Wechselaussteller. Diese Münzen stellten das Eigenkapital dar, das den Eigenwechseln scheinbar zu 100 Prozent als Deckung diente. Doch ein Kaufmann, der gerade 100 Dukaten in seiner Truhe verwahrte, konnte Eigenwechsel über 1.000 oder mehr Dukaten ausstellen. ...
Schon damals wurde also der Kredithebel erfunden. Die Golddeckung dieser ersten papiernen Zahlungsmittel war eine gut gepflegte Fiktion.
...
Die Eigenwechsel der Kaufleute am Ausgang des Mittelalters waren nur scheinbar durch Gold- und Silbermünzen gedeckt. Faktisch erhielt dieses frühe kapitalistische Kreditgeld seine Deckung durch die Waren, die damit gekauft wurden. Denn mit dem Erlös aus dem Verkauf dieser Waren, nicht mit den Gold- und Silbermünzen aus den Truhen wurden die Wechselschulden beglichen. Die Golddeckung des Geldes war von jeher eine Illusion.
Leider ist dieser Tatbestand bis heute nicht in der Theorie angekommen. Zwar gab und gibt es Geldschöpfung für Warenlager. Früher waren das Waren- oder Handelswechsel, heute sind es zum Teil Kontokorrentkredite, doch soll auch diese Geldschöpfung durch Verpfänden von Sachvermögen wie Boden oder Immobilien abgesichert werden. Der Grund dafür ... Banken wollen sich im Insolvenzfall durch Verkauf der Kreditsicherheiten ihr Geld zurückholen. Aus diesem Sicherheitsdenken entsteht diese fatale Fehlsteuerung der Wirtschaft.
Zum einen werden Banken nicht gezwungen für den Erfolg des kreditfinanzierten Unternehmens Mitverantwortung zu tragen. Eine solche Mitverantwortung, beginnend bei der Kreditvergabe und endend erst bei vollständiger Kredittilgung, wäre der beste Schutz gegen Kreditausfälle. Warum? Kreditregeln, die Kreditvergaben allein von der Geschäftsidee und dem Businessplan sowie von Leistungswillen und Leistungsfähigkeit der Kreditsuchenden abhängig machen, würden Banken zwingen, sich für das Funktionieren der Realwirtschaft zu interessieren, ja zu engagieren. Denn eine Kredittilgung durch Verkauf von Kreditsicherheiten (wie heutzutage) wäre dann nicht möglich.
Zum anderen werden die Kreditnehmenden durch die Kreditregeln motiviert, Geld aus dem Unternehmen zu ziehen. Zunächst nur, um den Kredit zu tilgen und damit ihr verpfändetes Eigentum zu entschulden. Ist der Kredit schließlich getilgt, kann der Teil der Einnahmen, der bisher für Zins und Tilgung an die Bank gezahlt wurde, als Eigenkapital aus dem Unternehmen gezogen werden. Diese Einnahmen, die anfangs für die Kredittilgung sinnvoll und notwendig waren, ermöglichen jetzt eine weitere private Vermögensbildung. Nach der ersten mühsam gesparten Million beginnt das Vermögen erst langsam, dann immer schneller exponentiell zu wachsen. Diese Eigenkapitalbildung wird durch die Kreditgesetze mindestens provoziert, wenn nicht erzwungen. Aus dem Zwang, Eigenkapital als Kreditsicherheit zu erwerben, entsteht aber jene fatale Dynamik.
Da die Realwirtschaft immer neue und immer größere Kredite braucht, damit der Geldfluss innerhalb der Realwirtschaft trotz ständigem Geldabfluss in die Finanzwirtschaft nicht versiegt, suchen Banken immerzu neue Kreditnehmende. Längst ist klar, dass die aus Sicht der Banken notwendige Kreditnachfrage einen sinnvollen realwirtschaftlichen Kreditbedarf übersteigt. Aus diesem Grund werden nicht nur ökologische oder soziale, sondern auch betriebswirtschaftliche Vorbehalte oft monetären Zwängen untergeordnet. Der Zwang zur Kreditvergabe bewirkt, dass Banken grundsätzlich mit einem Kreditausfall rechnen. Das ist nur einer der Gründe, warum die schwindende Golddeckung mehr und mehr durch Sachvermögen ersetzt wurde. Doch gerade den kreativen Köpfen fehlen heute vielfach ausreichende Vermögenswerte, um in den Augen der Banken kreditwürdig zu erscheinen. Infolgedessen setzen sich auf dem Markt meist die kapitalkräftigsten Unternehmen durch. Gute Ideen bleiben dabei zum Teil auf der Strecke oder verschaffen oft jenen große Profite, die fremde Ideen aufkaufen können. ...
Das Eigenkapital der einen ist heute immer nur eine (noch) nicht getilgte Schuld anderer. Ein Unternehmen hat somit zwei Möglichkeiten. Es kann eigenes Geldvermögen investieren. Dieses Geldvermögen setzt dabei zwingend fremde Schulden voraus. Denn Geldguthaben existieren nur, sofern auch entsprechende Schulden existieren. Das Unternehmen kann aber auch eigenes Sachvermögen als Kreditsicherheit verpfänden. Dann basiert das investierte Geld auf eigenen Schulden. In jedem Fall ist Eigenkapital Resultat einer entsprechenden Verschuldung. Eingedenk dieses Zusammenhangs sollten die nach der Finanzkrise 2007/08 aufgekommenen Forderungen nach Erhöhung des Eigenkapitals bei Banken und Unternehmen überdacht, ja verworfen werden. Denn das Erhöhen des Eigenkapitals erzwingt ein Erhöhen der Verschuldung.
Unsere heutigen Kreditregeln sind historisch gewachsen und müssen dringend überdacht werden."
