videoId,textOriginal,authorDisplayName,publishedAt,commentId
t68QfjvISZ8,Disse Regierung ist ein Haffen misst,Orhan Sefa,2023-05-01T16:34:37Z,Ugydzv4gNBxVVRoRYjN4AaABAg
t68QfjvISZ8,Wagenknecht = Populistin...,michael blomen,2023-05-01T16:09:57Z,UgxIr6yEUvqumLstrc54AaABAg
t68QfjvISZ8,"Wagenknecht an die Front!
Du bist die richtige Putin braucht dich 😂😂😂😂😂",Die Wahrheit,2023-05-01T16:01:17Z,UgzkVIptGNNeU5zJEbR4AaABAg
t68QfjvISZ8,"Diese Regierung gehört an den Galgen.

Frau Wagenknrecht for the Kanzleramt❤",asrian_12,2023-05-01T14:39:33Z,Ugzy2IzND8HQy8dUMZ54AaABAg
t68QfjvISZ8,Bei uns wurde doppelte Wandstärke gemacht und die Miete um ein Drittel erhöht von Po potsdam,Joerg Galler,2023-05-01T13:53:16Z,Ugzxs2s-llYF2U1ybKp4AaABAg
t68QfjvISZ8,"Hör doch auf.... Wie mit dem auto.... Da bekommst vom Staat einen absulut irre Zuschuss, wo du sonst nie rann kommen würdest und es wird geheult was das zeig hält.... Und genauso wirds bei den Heizungen 7md Sanierungen, da wird irre bezuschusst.... Warum nutz ich die Gelegenheit nicht... Wie doof muss ich denn sein... Dann warte ich lieber bis es nix mehr vom Staat gibt.... Die ist so hohl mit ihren Videos... BTW, keiner muss jetzt seine geliebte Ölheizung raus schmeißen.(für die nichts-Merker und wagenknecht-gucker)",Marcus Galle,2023-05-01T13:38:07Z,UgylzjB0d3qL0V-Sk6Z4AaABAg
t68QfjvISZ8,"Auwea, Habeck hat Verstärkung bekommen. Jetzt erzahlen sie ein Gute-Nacht-Deutschland-Märchen schon zu zweit  👍",Alexander Roth,2023-05-01T11:09:03Z,UgyHw4N5KIkb6Rn8Upx4AaABAg
t68QfjvISZ8,"Habeck trifft es nicht, denn er sagte, daß er ja Fernwärme hat. Genau deshalb kann man allen Menschen diese verkackte Wärmepumpe aufzwingen. 
Wird nicht passieren, mal schauen wieviel Menschen sich dann im Wohnzimmer ein schönes Lagerfeuer anzünden werden bevor sie ihr Haus verlieren.
Wird auf jeden Fall spannend.
Wann findet die nächste Demo gegen diesen Schwachsinn statt???",An Ro,2023-05-01T09:43:34Z,UgwWNevOlUIxoswM2G14AaABAg
t68QfjvISZ8,"...neee, mag ich nicht diese reiche Tante ,,,",gustelas,2023-05-01T09:35:27Z,UgzVgvIwZdrftkI1TaF4AaABAg
t68QfjvISZ8,KEINE HEIZUNG IST ILLEGAL!,Hans-Joachim Schmid,2023-05-01T09:19:13Z,UgyqxKlmyKpPIN3aE-B4AaABAg
